rating_denominator,jpg_url,source,rating_numerator,dog_breed_test,tweet_text,image_classifier_confidence,tweet_id,name,expanded_urls,timestamp,image_classifier_dog_breed,dog_stage,favorites,retweets,followers_count
10,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,Twitter for iPhone,8.0,True,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,0.465074,666020888022790149,,https://twitter.com/dog_rates/status/666020888022790149/photo/1,2015-11-15 22:32:08,Welsh_springer_spaniel,,2545,508,7413842
10,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,Twitter for iPhone,7.0,True,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,0.506826,666029285002620928,,https://twitter.com/dog_rates/status/666029285002620928/photo/1,2015-11-15 23:05:30,redbone,,129,47,7413842
10,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,Twitter for iPhone,9.0,True,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,0.596461,666033412701032449,,https://twitter.com/dog_rates/status/666033412701032449/photo/1,2015-11-15 23:21:54,German_shepherd,,125,44,7413842
10,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,Twitter for iPhone,6.0,True,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,0.408143,666044226329800704,,https://twitter.com/dog_rates/status/666044226329800704/photo/1,2015-11-16 00:04:52,Rhodesian_ridgeback,,296,139,7413842
10,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,Twitter for iPhone,5.0,True,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,0.560311,666049248165822465,,https://twitter.com/dog_rates/status/666049248165822465/photo/1,2015-11-16 00:24:50,miniature_pinscher,,107,40,7413842
10,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,Twitter for iPhone,10.0,True,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,0.651137,666050758794694657,,https://twitter.com/dog_rates/status/666050758794694657/photo/1,2015-11-16 00:30:50,Bernese_mountain_dog,,132,59,7413842
10,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,Twitter for iPhone,2.0,False,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,0.933012,666051853826850816,,https://twitter.com/dog_rates/status/666051853826850816/photo/1,2015-11-16 00:35:11,box_turtle,,1208,842,7413842
10,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,Twitter for iPhone,10.0,True,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,0.692517,666055525042405380,,https://twitter.com/dog_rates/status/666055525042405380/photo/1,2015-11-16 00:49:46,chow,,433,246,7413842
10,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,Twitter for iPhone,9.0,False,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,0.962465,666057090499244032,,https://twitter.com/dog_rates/status/666057090499244032/photo/1,2015-11-16 00:55:59,shopping_cart,,294,141,7413842
10,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,Twitter for iPhone,8.0,True,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,0.201493,666058600524156928,,https://twitter.com/dog_rates/status/666058600524156928/photo/1,2015-11-16 01:01:59,miniature_poodle,,111,57,7413842
10,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,Twitter for iPhone,10.0,True,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,0.77593,666063827256086533,,https://twitter.com/dog_rates/status/666063827256086533/photo/1,2015-11-16 01:22:45,golden_retriever,,471,216,7413842
10,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,Twitter for iPhone,9.0,True,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,0.503672,666071193221509120,,https://twitter.com/dog_rates/status/666071193221509120/photo/1,2015-11-16 01:52:02,Gordon_setter,,145,59,7413842
10,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,Twitter for iPhone,10.0,True,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,0.260857,666073100786774016,,https://twitter.com/dog_rates/status/666073100786774016/photo/1,2015-11-16 01:59:36,Walker_hound,,319,162,7413842
10,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,Twitter for iPhone,6.0,True,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,0.489814,666082916733198337,,https://twitter.com/dog_rates/status/666082916733198337/photo/1,2015-11-16 02:38:37,pug,,116,44,7413842
10,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,Twitter for iPhone,9.0,True,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,0.195217,666094000022159362,,https://twitter.com/dog_rates/status/666094000022159362/photo/1,2015-11-16 03:22:39,bloodhound,,163,73,7413842
10,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,Twitter for iPhone,8.0,True,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,0.58233,666099513787052032,,https://twitter.com/dog_rates/status/666099513787052032/photo/1,2015-11-16 03:44:34,Lhasa,,153,67,7413842
10,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,Twitter for iPhone,11.0,True,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,0.298617,666102155909144576,,https://twitter.com/dog_rates/status/666102155909144576/photo/1,2015-11-16 03:55:04,English_setter,,80,12,7413842
10,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,Twitter for iPhone,1.0,False,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,0.965932,666104133288665088,,https://twitter.com/dog_rates/status/666104133288665088/photo/1,2015-11-16 04:02:55,hen,,14183,6505,7413842
10,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,Twitter for iPhone,10.0,False,Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk,0.086502,666268910803644416,,https://twitter.com/dog_rates/status/666268910803644416/photo/1,2015-11-16 14:57:41,desktop_computer,,102,35,7413842
10,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,Twitter for iPhone,11.0,True,Can take selfies 11/10 https://t.co/ws2AMaNwPW,0.176053,666273097616637952,,https://twitter.com/dog_rates/status/666273097616637952/photo/1,2015-11-16 15:14:19,Italian_greyhound,,174,76,7413842
10,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,Twitter for iPhone,9.0,True,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv,0.8575309999999999,666287406224695296,,https://twitter.com/dog_rates/status/666287406224695296/photo/1,2015-11-16 16:11:11,Maltese_dog,,146,64,7413842
10,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,Twitter for iPhone,3.0,False,This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10 https://t.co/IIXis0zta0,0.914671,666293911632134144,,https://twitter.com/dog_rates/status/666293911632134144/photo/1,2015-11-16 16:37:02,three-toed_sloth,,494,352,7413842
10,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,Twitter for iPhone,9.0,False,This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL,0.416669,666337882303524864,,https://twitter.com/dog_rates/status/666337882303524864/photo/1,2015-11-16 19:31:45,ox,,197,90,7413842
10,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,Twitter for iPhone,10.0,True,Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10 https://t.co/VFKG1vxGjB,0.8587440000000001,666345417576210432,,https://twitter.com/dog_rates/status/666345417576210432/photo/1,2015-11-16 20:01:42,golden_retriever,,290,133,7413842
10,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,Twitter for iPhone,8.0,True,Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO,0.33687399999999995,666353288456101888,,https://twitter.com/dog_rates/status/666353288456101888/photo/1,2015-11-16 20:32:58,malamute,,218,71,7413842
